name,mse,rmse,mae,smape,r2,log_mse,log_rmse,log_mae,log_r2,spearman
concat_ka_ka,832981207774223.0,28861413.821471445,1787292.3355806146,123.51488471111836,0.011946837036156066,7.374833072073983,2.7156643887037997,2.082318325057047,0.16866325367996404,0.471057577407235
blend_ka_ka,911617960335839.6,30193011.77981156,1891230.165377972,120.5516801121219,-0.0813293273821536,6.472129978934036,2.5440381245048265,1.9591582375756944,0.2704215233261882,0.5457568927799908
attention_ka_ka,829920359663995.9,28808338.370409284,1739226.6000820186,120.77363188690504,0.015577507966587745,6.626924279419363,2.574281313186141,1.9766084718867036,0.25297215344124124,0.5375358335116674
concat_ka_tk,970811603940794.9,31157849.796492614,2080012.4535728872,124.04153321165623,-0.15154275626311242,7.659437506252741,2.767568880127962,2.1108684512623066,0.13658088354546483,0.4961808785084082
blend_ka_tk,879078809743773.4,29649263.224299073,2040682.9823025253,124.41507795007631,-0.042732525482437556,7.330424065372426,2.7074755890630717,2.0901536303932966,0.17366931127852525,0.5156436797712483
attention_ka_tk,9.573835800465879e+21,97845979991.34087,279876010.5248436,119.42108347370848,-11356148.041612899,6.444401994583409,2.538582674364459,1.9403694012984878,0.2735471930283744,0.5547341472423867
concat_tk_ka,934053128225773.8,30562282.7718378,2184683.6501580207,126.34042530293019,-0.10794113853514009,8.023385883863128,2.832558187198125,2.1799551087236475,0.09555437391275434,0.48011359906130474
blend_tk_ka,1109757069364099.2,33313016.51553187,2586274.006439129,129.52282305923268,-0.31635500569886443,8.559754718095938,2.925705849550829,2.2732588543321275,0.035091565179216855,0.4968191022441268
attention_tk_ka,841466228394852.8,29008037.306837097,1748600.1749295325,131.50174457755702,0.0018822024636327983,8.16657293765698,2.8577216340394282,2.2685692864220885,0.07941344458556931,0.2750837936443694
concat_tk_tk,2.4788547997547085e+23,497880989771.1207,1416954106.7472043,123.31601891139563,-294033081.9275569,7.056033438920219,2.6563195287691235,2.048610265407382,0.20460031790419042,0.5011970033233564
blend_tk_tk,849017298379947.5,29137901.406586364,1990616.6096145413,122.00894048574322,-0.007074612543598979,6.6721219827768685,2.5830450988662332,1.9960287353284485,0.24787718908297685,0.5748703364958816
attention_tk_tk,826375284069741.8,28746743.886390712,1775594.1125547425,122.39405625594442,0.01978255259563566,6.898663563475691,2.6265307086489,2.023879058836046,0.22234002251069085,0.5278587168638378
