name,fusion,combo,gravity_log_r2,gravity_spearman,original_log_r2,delta_vs_original,simplified_log_r2,delta_vs_simplified
concat_ka_ka,concat,ka_ka,0.1895373643038658,0.4914007978639947,0.211,-0.021462635696134186,,
blend_tk_ka,blend,tk_ka,0.2517763286905993,0.5345493400232444,0.321,-0.06922367130940071,,
blend_ka_tk,blend,ka_tk,0.2801616310696568,0.5350087482601771,0.366,-0.08583836893034319,,
attention_tk_tk,attention,tk_tk,0.1352070988979129,0.5107052140969323,0.304,-0.16879290110208708,,
attention_ka_ka,attention,ka_ka,0.0835952635325992,0.2835814253962316,0.272,-0.1884047364674008,,
blend_tk_tk,blend,tk_tk,0.1483374082472521,0.511926175446832,0.338,-0.1896625917527479,,
attention_ka_tk,attention,ka_tk,0.0826622900873972,0.2822362857324036,0.287,-0.20433770991260278,,
blend_ka_ka,blend,ka_ka,0.1060894047460562,0.5108336071852847,0.319,-0.2129105952539438,,
concat_tk_tk,concat,tk_tk,0.1211734622290404,0.5099240910088919,0.34,-0.21882653777095962,,
concat_tk_ka,concat,tk_ka,0.0720756927435196,0.4809997209767768,0.331,-0.2589243072564804,,
attention_tk_ka,attention,tk_ka,0.0548967177222196,0.2463368553256235,0.339,-0.2841032822777804,,
concat_ka_tk,concat,ka_tk,-0.1042362806198875,0.4616625069773655,0.335,-0.4392362806198875,,
